1251.1578,436.69122:937.77716,503.67572|
1264.8628,444.6306:928.4201,508.18042|
1264.8628,444.6306:928.4201,508.18042|
1276.4943,453.7055:920.59186,514.32697|
1276.4943,453.7055:920.59186,514.32697|
1286.6102,464.95447:914.5849,521.0395|
1286.6102,464.95447:914.5849,521.0395|
1294.3726,475.27487:913.1814,534.08344|
1294.3726,475.27487:913.1814,534.08344|
1299.2086,487.4816:912.0401,539.58936|
1299.2086,487.4816:912.0401,539.58936|
1301.7916,501.64676:912.8952,547.4935|
1301.7916,501.64676:912.8952,547.4935|
1301.7916,501.64676:912.8952,547.4935|
1302.4105,517.27:914.94415,559.0864|
1302.1085,530.9788:919.6747,562.44794|
1302.1085,530.9788:919.6747,562.44794|
1298.5894,547.7582:927.56555,578.6406|
1298.5894,547.7582:927.56555,578.6406|
1294.1787,561.85034:933.7342,586.4857|
1294.1787,561.85034:933.7342,586.4857|
1294.1787,561.85034:933.7342,586.4857|
1290.4279,571.07153:941.5461,595.3479|
1282.4479,588.98083:945.2345,591.1906|
1282.4479,588.98083:945.2345,591.1906|
1280.1345,594.37146:952.46405,618.65015|
1280.1345,594.37146:952.46405,618.65015|
1278.2433,603.64154:955.4386,618.7327|
1278.2433,603.64154:955.4386,618.7327|
1277.538,612.24005:956.24646,621.06085|
1277.538,612.24005:956.24646,621.06085|
1279.7261,618.3957:956.03253,624.5463|
1279.7261,618.3957:956.03253,624.5463|
1283.0358,623.54535:954.01263,626.0397|
1283.0358,623.54535:954.01263,626.0397|
1287.0927,625.17664:952.431,626.09424|
1287.0927,625.17664:952.431,626.09424|
1291.5717,624.2284:949.8428,624.818|
1291.5717,624.2284:949.8428,624.818|
1295.608,622.81976:948.2816,623.5287|
1295.608,622.81976:948.2816,623.5287|
1297.7942,621.2291:947.9385,621.96625|
1297.7942,621.2291:947.9385,621.96625|
1299.7041,617.8947:947.64496,618.8151|
1299.7041,617.8947:947.64496,618.8151|
1300.6697,614.5036:947.6708,614.4954|
1300.6697,614.5036:947.6708,614.4954|
1300.6697,614.5036:947.6708,614.4954|
1301.4985,611.47504:948.05255,608.35974|
1301.0209,605.7245:949.0376,602.9908|
1301.0209,605.7245:949.0376,602.9908|
1300.7576,601.9066:950.2711,599.44037|
1300.7576,601.9066:950.2711,599.44037|
1300.7576,601.9066:950.2711,599.44037|
1299.7377,596.29047:952.20984,590.8207|
1299.7377,596.29047:952.20984,590.8207|
1297.8427,588.44995:954.02155,580.66907|
1293.5997,582.3231:956.32697,572.3146|
1293.5997,582.3231:956.32697,572.3146|
1286.2913,573.39014:958.0829,565.8577|
1286.2913,573.39014:958.0829,565.8577|
1286.2913,573.39014:958.0829,565.8577|
1276.1508,564.72455:962.9696,554.6809|
1276.1508,564.72455:962.9696,554.6809|
1262.5519,551.3722:972.0738,536.7596|
1247.9796,535.38135:982.2618,520.41235|
1247.9796,535.38135:982.2618,520.41235|
1233.7734,521.6102:993.0296,508.5066|
1233.7734,521.6102:993.0296,508.5066|
1218.851,502.8468:1009.7009,485.3932|
1218.851,502.8468:1009.7009,485.3932|
1204.4407,482.75797:1023.4828,461.53876|
1204.4407,482.75797:1023.4828,461.53876|
1193.3391,464.3574:1033.0376,441.89642|
1193.3391,464.3574:1033.0376,441.89642|
1180.5276,436.886:1041.1931,418.87396|
1180.5276,436.886:1041.1931,418.87396|
1175.4812,420.33453:1048.0107,392.86264|
1175.4812,420.33453:1048.0107,392.86264|
1165.1775,388.73456:1052.0632,367.7194|
1165.1775,388.73456:1052.0632,367.7194|
1163.1017,367.18463:1051.7776,348.11633|
1163.1017,367.18463:1051.7776,348.11633|
1161.1853,339.6893:1048.7124,325.70663|
1161.1853,339.6893:1048.7124,325.70663|
1165.2997,320.1714:1043.4833,308.0067|
1165.2997,320.1714:1043.4833,308.0067|
1173.7366,307.76416:1035.5773,302.40204|
1173.7366,307.76416:1035.5773,302.40204|
1183.1163,301.5204:1026.1133,304.3968|
1183.1163,301.5204:1026.1133,304.3968|
1183.1163,301.5204:1026.1133,304.3968|
1191.4808,301.9372:1017.02313,309.64297|
1200.8098,308.14087:1003.7759,316.8155|
1200.8098,308.14087:1003.7759,316.8155|
1212.3364,317.59747:982.0102,332.2879|
1212.3364,317.59747:982.0102,332.2879|
1212.3364,317.59747:982.0102,332.2879|
1229.368,329.1343:953.6568,345.7779|
1249.9999,344.06393:923.1704,364.90833|
1249.9999,344.06393:923.1704,364.90833|
1249.9999,344.06393:923.1704,364.90833|
1269.6361,366.69144:894.26044,390.43594|
1287.1816,390.3598:868.09827,421.67444|
1287.1816,390.3598:868.09827,421.67444|
1301.577,418.68658:850.99347,461.74576|
1301.577,418.68658:850.99347,461.74576|
1301.577,418.68658:850.99347,461.74576|
1312.6943,453.84277:841.3746,507.58417|
1312.6943,453.84277:841.3746,507.58417|
1320.9487,489.34134:840.4677,555.12415|
1320.9487,489.34134:840.4677,555.12415|
1325.7245,532.6128:838.9074,610.74524|
1325.7245,532.6128:838.9074,610.74524|
1328.3997,569.3462:837.1741,647.48083|
1329.4899,611.8725:838.8852,674.4072|
1329.4899,611.8725:838.8852,674.4072|
1327.2766,660.0928:843.74695,729.05426|
1327.2766,660.0928:843.74695,729.05426|
1322.2283,712.3192:851.66406,777.9252|
1322.2283,712.3192:851.66406,777.9252|
1317.1984,764.0937:862.64136,829.0565|
1317.1984,764.0937:862.64136,829.0565|
1317.1984,764.0937:862.64136,829.0565|
1311.9397,813.6394:870.63916,878.4485|
1311.9397,813.6394:870.63916,878.4485|
1307.4128,860.3096:878.6033,926.2601|
1302.7059,902.34094:888.2575,972.8584|
1302.7059,902.34094:888.2575,972.8584|
1295.5212,940.67554:899.62366,1008.74927|
1295.5212,940.67554:899.62366,1008.74927|
